Recency,Frequency,Monetary,Time,Class,Scored Labels,Scored Probabilities
2,5,1250,33,1,1,0.988404333591461
4,8,2000,26,1,1,0.988163352012634
23,5,1250,33,0,1,0.988404333591461
23,2,500,38,0,1,0.988587200641632
14,7,1750,47,0,1,0.988746225833893
4,16,4000,70,1,1,0.989200234413147
2,1,250,2,0,1,0.987602770328522
21,4,1000,52,0,1,0.988923788070679
9,2,500,52,0,1,0.988954842090607
2,6,1500,15,1,1,0.987889111042023
8,10,2500,63,0,1,0.989113926887512
16,1,250,16,0,1,0.988001763820648
14,2,500,14,0,1,0.987928628921509
11,2,500,70,0,1,0.98941034078598
2,1,250,2,0,1,0.987602770328522
4,1,250,4,0,1,0.987660586833954
21,1,250,21,0,1,0.988141119480133
4,1,250,4,0,1,0.987660586833954
11,2,500,24,0,1,0.988207459449768
2,3,750,38,1,1,0.988571166992188
2,5,1250,16,0,1,0.987934291362762
16,3,750,86,0,1,0.989785313606262
13,7,1750,76,0,1,0.989484488964081
11,11,2750,38,0,1,0.988442242145538
2,2,500,2,0,1,0.987585365772247
4,2,500,30,0,1,0.988371729850769
4,16,4000,38,1,1,0.988360941410065
20,14,3500,69,1,1,0.989205241203308
11,2,500,21,0,1,0.988124489784241
13,3,750,16,0,1,0.987968027591705
23,3,750,33,0,1,0.988436758518219
11,2,500,25,0,1,0.988234996795654
4,1,250,4,0,1,0.987660586833954
4,5,1250,58,0,1,0.98906284570694
21,2,500,25,0,1,0.988234996795654
2,1,250,2,0,1,0.987602770328522
23,3,750,35,0,1,0.988490760326386
2,34,8500,77,1,1,0.98910391330719
11,2,500,11,0,1,0.987843692302704
4,4,1000,46,0,1,0.988767266273499
23,1,250,23,0,1,0.988196432590485
2,4,1000,16,1,1,0.987951159477234
23,2,500,23,0,1,0.988179862499237
14,4,1000,26,0,1,0.988229513168335
2,11,2750,79,1,1,0.989499270915985
23,1,250,23,1,1,0.988196432590485
8,15,3750,77,0,1,0.98939061164856
2,9,2250,74,0,1,0.989405453205109
16,7,1750,64,0,1,0.989184975624084
2,5,1250,63,0,1,0.98919004201889
4,9,2250,26,1,1,0.988146722316742
16,6,1500,50,0,1,0.988840579986572
14,3,750,83,0,1,0.989713311195374
4,1,250,4,0,1,0.987660586833954
2,5,1250,47,1,1,0.988777756690979
2,13,3250,53,1,1,0.988809287548065
21,3,750,70,0,1,0.989395499229431
4,11,2750,64,1,1,0.989124119281769
4,9,2250,55,0,1,0.988923847675323
14,2,500,14,0,1,0.987928628921509
3,8,2000,50,0,1,0.98880922794342
2,3,750,4,1,1,0.987625956535339
4,1,250,4,0,1,0.987660586833954
11,4,1000,16,1,1,0.987951159477234
23,1,250,23,0,1,0.988196432590485
16,8,2000,76,0,1,0.989469707012177
2,2,500,4,1,1,0.987643241882324
2,11,2750,26,0,1,0.988113462924957
2,1,250,2,1,1,0.987602770328522
16,3,750,34,0,1,0.988463819026947
11,7,1750,29,0,1,0.988262534141541
21,2,500,21,0,1,0.988124489784241
4,1,250,4,1,1,0.987660586833954
16,3,750,21,0,1,0.988107860088348
14,1,250,14,0,1,0.987945556640625
4,7,1750,58,0,1,0.989032089710236
38,1,250,38,0,1,0.988603174686432
3,14,3500,35,0,1,0.98831182718277
2,2,500,11,1,1,0.987843692302704
2,4,1000,35,0,1,0.988474607467651
4,4,1000,41,0,1,0.988635122776031
2,5,1250,16,1,1,0.987934291362762
14,4,1000,38,0,1,0.988555133342743
4,6,1500,14,0,1,0.98786073923111
11,3,750,26,0,1,0.988246023654938
2,7,1750,32,1,1,0.988344550132751
2,2,500,16,0,1,0.987984895706177
23,12,3000,86,0,1,0.989655375480652
14,5,1250,28,0,1,0.988267958164215
2,3,750,14,0,1,0.987911701202393
2,11,2750,40,1,1,0.98849618434906
11,6,1500,27,0,1,0.988224029541016
16,1,250,16,0,1,0.988001763820648
2,13,3250,32,1,1,0.988246083259583
14,8,2000,46,0,1,0.988704085350037
2,12,3000,52,0,1,0.988798797130585
